"","datazone","year","crime_count","crime_rate","school_leaver_other_rate","school_leaver_pos_rate","simd","simd_decile","simd_quintile"
"1","S01000001",2004,25,297,NA,NA,5459,NA,NA
"2","S01000002",2004,NA,NA,NA,NA,6150,NA,NA
"3","S01000003",2004,19,239,NA,NA,6000,NA,NA
"4","S01000004",2004,NA,NA,NA,NA,5869,NA,NA
"5","S01000005",2004,19,303,NA,NA,6049,NA,NA
"6","S01000006",2004,26,426,NA,NA,4339,NA,NA
"7","S01000007",2004,8,97,NA,NA,6184,NA,NA
"8","S01000008",2004,NA,NA,NA,NA,4357,NA,NA
"9","S01000009",2004,20,291,NA,NA,4882,NA,NA
"10","S01000010",2004,NA,NA,NA,NA,5477,NA,NA
"11","S01000011",2004,10,111,NA,NA,6162,NA,NA
"12","S01000012",2004,27,301,NA,NA,5372,NA,NA
"13","S01000013",2004,17,208,NA,NA,4838,NA,NA
"14","S01000014",2004,8,87,NA,NA,5035,NA,NA
"15","S01000015",2004,NA,NA,NA,NA,5766,NA,NA
"16","S01000016",2004,16,268,NA,NA,5923,NA,NA
"17","S01000017",2004,24,261,NA,NA,5353,NA,NA
"18","S01000018",2004,NA,NA,NA,NA,4795,NA,NA
"19","S01000019",2004,22,381,NA,NA,6076,NA,NA
"20","S01000020",2004,24,252,NA,NA,3395,NA,NA
"21","S01000021",2004,23,251,NA,NA,4213,NA,NA
"22","S01000022",2004,23,310,NA,NA,6345,NA,NA
"23","S01000023",2004,11,140,NA,NA,6072,NA,NA
"24","S01000024",2004,NA,NA,NA,NA,5252,NA,NA
"25","S01000025",2004,28,306,NA,NA,6244,NA,NA
"26","S01000026",2004,63,713,NA,NA,2062,NA,NA
"27","S01000027",2004,21,268,NA,NA,6311,NA,NA
"28","S01000028",2004,55,591,NA,NA,2493,NA,NA
"29","S01000029",2004,7,88,NA,NA,6166,NA,NA
"30","S01000030",2004,17,353,NA,NA,2106,NA,NA
"31","S01000031",2004,17,191,NA,NA,6336,NA,NA
"32","S01000032",2004,75,725,NA,NA,3586,NA,NA
"33","S01000033",2004,72,981,NA,NA,1535,NA,NA
"34","S01000034",2004,19,195,NA,NA,5388,NA,NA
"35","S01000035",2004,71,737,NA,NA,2836,NA,NA
"36","S01000036",2004,22,323,NA,NA,2314,NA,NA
"37","S01000037",2004,73,993,NA,NA,2626,NA,NA
"38","S01000038",2004,65,784,NA,NA,3543,NA,NA
"39","S01000039",2004,40,446,NA,NA,1991,NA,NA
"40","S01000040",2004,49,527,NA,NA,2978,NA,NA
"41","S01000041",2004,35,443,NA,NA,4184,NA,NA
"42","S01000042",2004,43,564,NA,NA,3210,NA,NA
"43","S01000043",2004,81,1076,NA,NA,4310,NA,NA
"44","S01000044",2004,45,521,NA,NA,1572,NA,NA
"45","S01000045",2004,NA,NA,NA,NA,6297,NA,NA
"46","S01000046",2004,11,150,NA,NA,6439,NA,NA
"47","S01000047",2004,15,206,NA,NA,3020,NA,NA
"48","S01000048",2004,18,201,NA,NA,6460,NA,NA
"49","S01000049",2004,13,176,NA,NA,6312,NA,NA
"50","S01000050",2004,13,201,NA,NA,5192,NA,NA
"51","S01000051",2004,5,64,NA,NA,5988,NA,NA
"52","S01000052",2004,56,906,NA,NA,988,NA,NA
"53","S01000053",2004,14,138,NA,NA,5299,NA,NA
"54","S01000054",2004,NA,NA,NA,NA,6294,NA,NA
"55","S01000055",2004,69,982,NA,NA,1119,NA,NA
"56","S01000056",2004,18,171,NA,NA,5920,NA,NA
"57","S01000057",2004,82,1220,NA,NA,1042,NA,NA
"58","S01000058",2004,19,287,NA,NA,6494,NA,NA
"59","S01000059",2004,21,286,NA,NA,6046,NA,NA
"60","S01000060",2004,44,849,NA,NA,394,NA,NA
"61","S01000061",2004,21,211,NA,NA,6231,NA,NA
"62","S01000062",2004,16,177,NA,NA,6355,NA,NA
"63","S01000063",2004,16,169,NA,NA,6463,NA,NA
"64","S01000064",2004,41,640,NA,NA,3735,NA,NA
"65","S01000065",2004,22,246,NA,NA,5283,NA,NA
"66","S01000066",2004,131,1770,NA,NA,2325,NA,NA
"67","S01000067",2004,11,124,NA,NA,6145,NA,NA
"68","S01000068",2004,16,208,NA,NA,6252,NA,NA
"69","S01000069",2004,71,1076,NA,NA,1325,NA,NA
"70","S01000070",2004,33,518,NA,NA,1585,NA,NA
"71","S01000071",2004,81,1213,NA,NA,902,NA,NA
"72","S01000072",2004,51,639,NA,NA,4621,NA,NA
"73","S01000073",2004,6,102,NA,NA,6301,NA,NA
"74","S01000074",2004,63,881,NA,NA,520,NA,NA
"75","S01000075",2004,12,240,NA,NA,5784,NA,NA
"76","S01000076",2004,6,80,NA,NA,5979,NA,NA
"77","S01000077",2004,15,176,NA,NA,6424,NA,NA
"78","S01000078",2004,57,813,NA,NA,1880,NA,NA
"79","S01000079",2004,43,463,NA,NA,6124,NA,NA
"80","S01000080",2004,53,600,NA,NA,5631,NA,NA
"81","S01000081",2004,13,147,NA,NA,6484,NA,NA
"82","S01000082",2004,98,1097,NA,NA,1542,NA,NA
"83","S01000083",2004,25,332,NA,NA,6347,NA,NA
"84","S01000084",2004,129,2019,NA,NA,1672,NA,NA
"85","S01000085",2004,26,468,NA,NA,3984,NA,NA
"86","S01000086",2004,23,326,NA,NA,5956,NA,NA
"87","S01000087",2004,23,355,NA,NA,6227,NA,NA
"88","S01000088",2004,18,258,NA,NA,5234,NA,NA
"89","S01000089",2004,7,74,NA,NA,5921,NA,NA
"90","S01000090",2004,37,488,NA,NA,6234,NA,NA
"91","S01000091",2004,24,243,NA,NA,4147,NA,NA
"92","S01000092",2004,47,629,NA,NA,5602,NA,NA
"93","S01000093",2004,36,661,NA,NA,4151,NA,NA
"94","S01000094",2004,50,839,NA,NA,5004,NA,NA
"95","S01000095",2004,17,227,NA,NA,6320,NA,NA
"96","S01000096",2004,35,527,NA,NA,1910,NA,NA
"97","S01000097",2004,67,675,NA,NA,6490,NA,NA
"98","S01000098",2004,265,2840,NA,NA,1824,NA,NA
"99","S01000099",2004,19,245,NA,NA,6392,NA,NA
"100","S01000100",2004,475,7410,NA,NA,3933,NA,NA
"101","S01000101",2004,121,1511,NA,NA,6410,NA,NA
"102","S01000102",2004,123,1817,NA,NA,1816,NA,NA
"103","S01000103",2004,29,546,NA,NA,5748,NA,NA
"104","S01000104",2004,17,195,NA,NA,6271,NA,NA
"105","S01000105",2004,36,430,NA,NA,6041,NA,NA
"106","S01000106",2004,13,184,NA,NA,6502,NA,NA
"107","S01000107",2004,423,5321,NA,NA,3535,NA,NA
"108","S01000108",2004,117,1800,NA,NA,1968,NA,NA
"109","S01000109",2004,579,6335,NA,NA,3282,NA,NA
"110","S01000110",2004,33,407,NA,NA,4325,NA,NA
"111","S01000111",2004,20,282,NA,NA,6344,NA,NA
"112","S01000112",2004,55,595,NA,NA,2506,NA,NA
"113","S01000113",2004,10,177,NA,NA,6472,NA,NA
"114","S01000114",2004,32,423,NA,NA,2022,NA,NA
"115","S01000115",2004,37,454,NA,NA,2296,NA,NA
"116","S01000116",2004,30,295,NA,NA,5616,NA,NA
"117","S01000117",2004,34,348,NA,NA,6288,NA,NA
